DATE,FEDFUNDS
1970-01-01,8.2300000000000000
1970-07-01,6.1366666666666667
1971-01-01,4.2116666666666667
1971-07-01,5.1133333333333333
1972-01-01,3.9233333333333333
1972-07-01,4.9450000000000000
1973-01-01,7.1766666666666667
1973-07-01,10.2783333333333333
1974-01-01,10.2866666666666667
1974-07-01,10.7183333333333333
1975-01-01,5.8616666666666667
1975-07-01,5.7866666666666667
1976-01-01,5.0116666666666667
1976-07-01,5.0783333333333333
1977-01-01,4.9083333333333333
1977-07-01,6.1666666666666667
1978-01-01,7.0200000000000000
1978-07-01,8.8416666666666667
1979-01-01,10.1266666666666667
1979-07-01,12.2616666666666667
1980-01-01,13.8666666666666667
1980-07-01,12.8450000000000000
1981-01-01,17.1750000000000000
1981-07-01,15.5816666666666667
1982-01-01,14.3700000000000000
1982-07-01,10.1466666666666667
1983-01-01,8.7283333333333333
1983-07-01,9.4450000000000000
1984-01-01,10.1216666666666667
1984-07-01,10.3283333333333333
1985-01-01,8.2000000000000000
1985-07-01,8.0016666666666667
1986-01-01,7.3733333333333333
1986-07-01,6.2366666666666667
1987-01-01,6.4350000000000000
1987-07-01,6.8800000000000000
1988-01-01,6.9100000000000000
1988-07-01,8.2266666666666667
1989-01-01,9.5850000000000000
1989-07-01,8.8483333333333333
1990-01-01,8.2466666666666667
1990-07-01,7.9516666666666667
1991-01-01,6.1450000000000000
1991-07-01,5.2300000000000000
1992-01-01,3.8966666666666667
1992-07-01,3.1466666666666667
1993-01-01,3.0200000000000000
1993-07-01,3.0250000000000000
1994-01-01,3.5766666666666667
1994-07-01,4.8266666666666667
1995-01-01,5.9150000000000000
1995-07-01,5.7583333333333333
1996-01-01,5.3033333333333333
1996-07-01,5.2933333333333333
1997-01-01,5.4000000000000000
1997-07-01,5.5200000000000000
1998-01-01,5.5100000000000000
1998-07-01,5.1966666666666667
1999-01-01,4.7400000000000000
1999-07-01,5.2000000000000000
2000-01-01,5.9750000000000000
2000-07-01,6.4966666666666667
2001-01-01,4.9600000000000000
2001-07-01,2.8150000000000000
2002-01-01,1.7416666666666667
2002-07-01,1.5916666666666667
2003-01-01,1.2483333333333333
2003-07-01,1.00666666666666666667
2004-01-01,1.00666666666666666667
2004-07-01,1.6916666666666667
2005-01-01,2.7066666666666667
2005-07-01,3.7200000000000000
2006-01-01,4.6816666666666667
2006-07-01,5.2466666666666667
2007-01-01,5.2533333333333333
2007-07-01,4.7850000000000000
2008-01-01,2.6316666666666667
2008-07-01,1.2233333333333333
2009-01-01,0.18166666666666666667
2009-07-01,0.13833333333333333333
2010-01-01,0.16333333333333333333
2010-07-01,0.18666666666666666667
2011-01-01,0.12500000000000000000
2011-07-01,0.07833333333333333333
2012-01-01,0.12833333333333333333
2012-07-01,0.15166666666666666667
2013-01-01,0.13000000000000000000
2013-07-01,0.08500000000000000000
2014-01-01,0.08333333333333333333
2014-07-01,0.09500000000000000000
2015-01-01,0.11666666666666666667
2015-07-01,0.14833333333333333333
2016-01-01,0.36666666666666666667
2016-07-01,0.42333333333333333333
2017-01-01,0.82500000000000000000
2017-07-01,1.1783333333333333
2018-01-01,1.5916666666666667
2018-07-01,2.0716666666666667
2019-01-01,2.4000000000000000
2019-07-01,1.9166666666666667
2020-01-01,0.66000000000000000000
2020-07-01,0.09166666666666666667
2021-01-01,0.07500000000000000000
